title,dynasty,author,content
论诗五首·其二,清代,赵翼,李杜诗篇万口传，至今已觉不新鲜。<br />江山代有才人出，各领风骚数百年。
普天乐·咏世,元代,张鸣善,洛阳花，梁园月，好花须买，皓月须赊。<br />花倚栏干看烂熳开，月曾把酒问团圆夜。<br />月有盈亏花有开谢，想人生最苦离别。<br />花谢了三春近也，月缺了中秋到也，人去了何日来也？
煎盐绝句,清代,吴嘉纪,<p>白头灶户低草房，六月煎盐烈火旁。<br />走出门前炎日里，偷闲一刻是乘凉。</p>
八月十五日夜瑶台寺对月绝句,唐代,权德舆,嬴女乘鸾已上天，仁祠空在鼎湖边。 <br />凉风遥夜清秋半，一望金波照粉田。
西江月·顷在黄州,宋代,苏轼,"<p>顷在黄州，春夜行蕲水中，过酒家饮，酒醉，乘月至一溪桥上，解鞍，由肱醉卧少休。及觉已晓，乱山攒拥，流水锵然，疑非尘世也。书此语桥柱上。(由肱 一作：曲肱)</p>
<p>照野弥弥浅浪，横空隐隐层霄。障泥未解玉骢骄，我欲醉眠芳草。<br />可惜一溪风月，莫教踏碎琼瑶。解鞍欹枕绿杨桥，杜宇一声春晓。</p>"
千年调·卮酒向人时,宋代,辛弃疾,"<p>蔗庵小阁名曰“卮言”，作此词以嘲之。</p>
<p>卮酒向人时，和气先倾倒。最要然然可可，万事称好。滑稽坐上，更对鸱夷笑。寒与热，总随人，甘国老。<br />少年使酒，出口人嫌拗。此个和合道理，近日方晓。学人言语，未会十会巧。看他们，得人怜，秦吉了。 </p>"
西江月·粉面都成醉梦,宋代,辛弃疾,粉面都成醉梦，霜髯能几春秋。来时诵我伴牢愁。一见尊前似旧。<br />诗在阴何侧畔，字居罗赵前头。锦囊来往几时休。已遣蛾眉等候。
登岳阳楼,宋代,萧德藻,不作苍茫去，真成浪荡游。<br />三年夜郎客，一柁洞庭秋。<br />得句鹭飞处，看山天尽头。<br />犹嫌未奇绝，更上岳阳楼。
国风·郑风·褰裳,先秦,佚名,<p>子惠思我，褰裳涉溱。子不我思，岂无他人？狂童之狂也且！<br />子惠思我，褰裳涉洧。子不我思，岂无他士？狂童之狂也且！</p>
衡阳与梦得分路赠别,唐代,柳宗元,十年憔悴到秦京，谁料翻为岭外行。<br />伏波故道风烟在，翁仲遗墟草树平。<br />直以慵疏招物议，休将文字占时名。<br />今朝不用临河别，垂泪千行便濯缨。
一剪梅·雨打梨花深闭门,明代,唐寅,雨打梨花深闭门，孤负青春，虚负青春。赏心乐事共谁论？花下销魂，月下销魂。<br />愁聚眉峰尽日颦，千点啼痕，万点啼痕。晓看天色暮看云，行也思君，坐也思君。
品令·茶词,宋代,黄庭坚,凤舞团团饼。恨分破、教孤令。金渠体净，只轮慢碾，玉尘光莹。汤响松风，早减了、二分酒病。 <br />味浓香永。醉乡路、成佳境。恰如灯下，故人万里，归来对影。口不能言，心下快活自省。
溪上遇雨二首,唐代,崔道融,"<p>回塘雨脚如缫丝，野禽不起沈鱼飞。<br />耕蓑钓笠取未暇，秋田有望从淋漓。</p>
<p>坐看黑云衔猛雨，喷洒前山此独晴。<br />忽惊云雨在头上，却是山前晚照明。</p>"
生查子·旅思,清代,吴伟业,一尺过江山，万点长淮树。石上水潺潺，流入青溪去。<br />六月北风寒，落叶无朝暮。度樾与穿云，林黑行人顾。
殢人娇·或云赠朝云,宋代,苏轼,白发苍颜，正是维摩境界。空方丈、散花何碍。朱唇箸点，更髻鬟生彩。这些个，千生万生只在。<br />好事心肠，著人情态。闲窗下、敛云凝黛。明朝端午，待学纫兰为佩。寻一首好诗，要书裙带。
花非花,唐代,白居易,花非花，雾非雾。<br />夜半来，天明去。<br />来如春梦几多时？<br />去似朝云无觅处。
怨情,唐代,李白,美人卷珠帘，深坐颦蛾眉。(颦 一作：蹙)<br />但见泪痕湿，不知心恨谁。
春梦,唐代,岑参,洞房昨夜春风起，故人尚隔湘江水。<br />枕上片时春梦中，行尽江南数千里。
金陵冬夜,清代,林古度,老来贫困实堪嗟，寒气偏归我一家。<br />无被夜眠牵破絮，浑如孤鹤入芦花。
田上,唐代,崔道融,雨足高田白，披蓑半夜耕。<br />人牛力俱尽，东方殊未明。
击壤歌,先秦,佚名,日出而作，日入而息。<br />凿井而饮，耕田而食。<br />帝力于我何有哉！
浣溪沙·春点疏梅雨后枝,宋代,姜夔,"<p>己酉岁，客吴兴，收灯夜阖户无聊，俞商卿呼之共出，因记所见。</p>
<p>春点疏梅雨后枝，翦灯心事峭寒时。市桥携手步迟迟。<br />蜜炬来时人更好，玉笙吹彻夜何其。东风落靥不成归。</p>"
浣溪沙·十里湖光载酒游,清代,纳兰性德,十里湖光载酒游，青帘低映白苹洲。西风听彻采菱讴。<br />沙岸有时双袖拥，画船何处一竿收。归来无语晚妆楼。
菩萨蛮·回文秋闺怨,宋代,苏轼,井桐双照新妆冷，冷妆新照双桐井。羞对井花愁，愁花井对羞。<br />影孤怜夜永，永夜怜孤影。楼上不宜秋，秋宜不上楼。
杜工部蜀中离席,唐代,李商隐,人生何处不离群？世路干戈惜暂分。<br />雪岭未归天外使，松州犹驻殿前军。<br />座中醉客延醒客，江上晴云杂雨云。<br />美酒成都堪送老，当垆仍是卓文君。
咏风,唐代,王勃,"<p>肃肃凉风生，加我林壑清。<br />驱烟寻涧户，卷雾出山楹。<br />去来固无迹，动息如有情。<br />日落山水静，为君起松声。(版本一)</p>
<p>肃肃凉景生，加我林壑清。<br />驱烟寻涧户，卷雾出山楹。<br />去来固无迹，动息如有情。<br />日落山水静，为君起松声。(版本二)</p>"
秋雨夜眠,唐代,白居易,凉冷三秋夜，安闲一老翁。<br />卧迟灯灭后，睡美雨声中。<br />灰宿温瓶火，香添暖被笼。<br />晓晴寒未起，霜叶满阶红。
花犯·苔梅,宋代,王沂孙,古婵娟，苍鬟素靥，盈盈瞰流水。断魂十里。叹绀缕飘零，难系离思。故山岁晚谁堪寄。琅玕聊自倚。谩记我、绿蓑冲雪，孤舟寒浪里。<br />三花两蕊破蒙茸，依依似有恨，明珠轻委。云卧稳，蓝衣正、护春憔悴。罗浮梦、半蟾挂晓，幺凤冷、山中人乍起。又唤取、玉奴归去，余香空翠被。
胡笳曲,唐代,佚名,<p>月明星稀霜满野，毡车夜宿阴山下。<br />汉家自失李将军，单于公然来牧马。</p>
拟行路难·其四,南北朝,鲍照,泻水置平地，各自东西南北流。<br />人生亦有命，安能行叹复坐愁？<br />酌酒以自宽，举杯断绝歌路难。<br />心非木石岂无感？吞声踯躅不敢言。
虞美人·韶华争肯偎人住,清代,董士锡,<p>韶华争肯偎人住？已是滔滔去。西风无赖过江来，历尽千山万水几时回？<br />秋声带叶萧萧落，莫响城头角！浮云遮月不分明，谁挽长江一洗放天青？</p>
减字木兰花·荔枝,宋代,苏轼,闽溪珍献。过海云帆来似箭。玉座金盘。不贡奇葩四百年。<br />轻红酽白。雅称佳人纤手擘。骨细肌香。恰是当年十八娘。
杂诗,唐代,佚名,近寒食雨草萋萋，著麦苗风柳映堤。<br />等是有家归未得，杜鹃休向耳边啼。
问舟子,唐代,孟浩然,向夕问舟子，前程复几多。<br />湾头正堪泊，淮里足风波。
次韵雪后书事二首,宋代,朱熹,"<p>惆怅江头几树梅，杖藜行绕去还来。<br />前时雪压无寻处，昨夜月明依旧开。<br />折寄遥怜人似玉，相思应恨劫成灰。<br />沉吟日落寒鸦起，却望柴荆独自回。</p>
<p>满山残雪对虚堂，想似当年辋口庄。<br />门掩不须垂铁锁，客来聊复共藜床。<br />故人闻道歌围暖，妙语空传醉墨香。<br />莫为姬姜厌憔悴，把酒论文话偏长。</p>"
